song_name,genre,mood,pace,duration_minutes,file_url
Gentle Acoustic,neo mellow,happy,slow,2.8,gentle_acoustic.mp3
Boom Bap Vibes,detroit hip hop,energetic,medium,3,boom_bap_vibes.mp3
Summer Dance Pop,dance pop,energetic,fast,2.5,summer_dance_pop.mp3
Pop Party,pop,party,fast,2.9,pop_party.mp3
Happy Acoustic Pop,canadian pop,happy,medium,2.6,happy_acoustic_pop.mp3
Modern Chill Hip-Hop,hip pop,chill,slow,2.7,modern_chill_hip_hop.mp3
Caribbean Breeze,barbadian pop,chill,medium,3.1,caribbean_breeze.mp3
Atlanta Trap Beat,atl hip hop,energetic,fast,2.8,atlanta_trap_beat.mp3
Uplifting Pop Vibes,australian pop,uplifting,medium,2.9,uplifting_pop_vibes.mp3
Chill Indie Pop,indie pop,chill,slow,3,chill_indie_pop.mp3
Dream Pop Vibes,art pop,dreamy,slow,2.7,dream_pop_vibes.mp3
Latin Dance Pop,colombian pop,latin,fast,2.6,latin_dance_pop.mp3
Big Room EDM Festival,big room,energetic,fast,3.3,big_room_edm_festival.mp3
Soulful Groove,british soul,soulful,medium,2.8,soulful_groove.mp3
Street Hip-Hop,chicago rap,street,medium,2.9,street_hip_hop.mp3
Acoustic Sunshine,acoustic pop,acoustic,slow,2.5,acoustic_sunshine.mp3
New Wave 80s Vibes,permanent wave,retro,medium,2.8,new_wave_80s_vibes.mp3
Boys Pop Energy,boy band,fun,fast,2.7,boys_pop_energy.mp3
Vintage Pop Orchestra,baroque pop,vintage,slow,3,vintage_pop_orchestra.mp3
Celtic Adventure Rock,celtic rock,adventurous,fast,2.9,celtic_adventure_rock.mp3
